full_path,category_id,species_name,bboxs
../data/caltech/images_cropped/5860f034-23d2-11e8-a6a3-ec086b02610b.JPG,3,raccoon,"[{'category_id': 3, 'bbox': [258.56, 1210.88, 499.2, 282.8799999999999]}]"
../data/caltech/images_cropped/58c661d3-23d2-11e8-a6a3-ec086b02610b.JPG,3,raccoon,"[{'category_id': 3, 'bbox': [1095.68, 573.44, 181.76, 320.0]}]"
../data/caltech/images_cropped/5a07ce7a-23d2-11e8-a6a3-ec086b02610b.JPG,3,raccoon,"[{'category_id': 3, 'bbox': [1103.36, 704.0, 409.60000000000014, 202.24]}]"
../data/caltech/images_cropped/591b2423-23d2-11e8-a6a3-ec086b02610b.JPG,3,raccoon,"[{'category_id': 3, 'bbox': [1157.1199987792968, 442.88, 186.8800000000001, 220.15999999999997]}]"
../data/caltech/images_cropped/597cd4ac-23d2-11e8-a6a3-ec086b02610b.JPG,3,raccoon,"[{'category_id': 3, 'bbox': [655.36, 596.48, 322.56000000000006, 279.03999999999996]}]"
../data/caltech/images_cropped/599fbdaa-23d2-11e8-a6a3-ec086b02610b.JPG,3,raccoon,"[{'category_id': 3, 'bbox': [1625.2297878265038, 731.8581342697141, 116.08784198760038, 100.9459495544496]}, {'category_id': 3, 'bbox': [194.32095289229926, 158.98987054825164, 65.6148672103895, 60.56756973265961]}, {'category_id': 3, 'bbox': [1381.297363281244, 1243.796508789056, 484.54150390624255, 250.20349121094407]}]"
../data/caltech/images_cropped/59247a77-23d2-11e8-a6a3-ec086b02610b.JPG,3,raccoon,"[{'category_id': 3, 'bbox': [1164.8, 504.31999999999994, 189.44000000000005, 289.2800000000002]}]"
../data/caltech/images_cropped/598495bd-23d2-11e8-a6a3-ec086b02610b.JPG,3,raccoon,"[{'category_id': 3, 'bbox': [1413.12, 542.72, 355.84000000000015, 284.15999999999997]}]"
../data/caltech/images_cropped/58eac9da-23d2-11e8-a6a3-ec086b02610b.JPG,3,raccoon,"[{'category_id': 3, 'bbox': [839.68, 957.4399999999999, 309.7600000000001, 435.19999999999993]}]"
../data/caltech/images_cropped/58dabdab-23d2-11e8-a6a3-ec086b02610b.JPG,3,raccoon,"[{'category_id': 3, 'bbox': [1013.76, 642.56, 261.1200000000001, 353.28]}, {'category_id': 3, 'bbox': [501.76, 880.6400000000001, 289.28, 220.16000000000008]}]"
