full_path,category_id,species_name,bboxs,width,height
data/wcs/images/animals/0196/0200.jpg,111,equus quagga,"[{'category_id': 1, 'bbox': [563, 440, 193, 148]}]",1280,1024
data/wcs/images/animals/0017/1055.jpg,111,equus quagga,"[{'category_id': 1, 'bbox': [267, 535, 553, 384]}]",1280,1024
data/wcs/images/animals/0236/0307.jpg,111,equus quagga,"[{'category_id': 1, 'bbox': [295, 463, 404, 216]}, {'category_id': 1, 'bbox': [0, 511, 135, 194]}, {'category_id': 1, 'bbox': [45, 492, 74, 207]}, {'category_id': 1, 'bbox': [283, 566, 21, 23]}]",1280,1024
data/wcs/images/animals/0234/0880.jpg,111,equus quagga,"[{'category_id': 1, 'bbox': [0, 253, 492, 383]}, {'category_id': 1, 'bbox': [444, 420, 316, 188]}]",1280,1024
data/wcs/images/animals/0368/1946.jpg,111,equus quagga,"[{'category_id': 1, 'bbox': [876, 521, 394, 232]}]",2048,1536
data/wcs/images/animals/0375/1229.jpg,111,equus quagga,"[{'category_id': 1, 'bbox': [1555, 940, 491, 232]}]",2048,1536
data/wcs/images/animals/0235/0932.jpg,111,equus quagga,"[{'category_id': 1, 'bbox': [549, 365, 143, 112]}, {'category_id': 1, 'bbox': [472, 413, 93, 53]}, {'category_id': 1, 'bbox': [323, 432, 82, 38]}, {'category_id': 1, 'bbox': [261, 428, 61, 51]}, {'category_id': 1, 'bbox': [0, 15, 453, 680]}, {'category_id': 1, 'bbox': [473, 432, 70, 39]}]",1280,1024
data/wcs/images/animals/0234/0894.jpg,111,equus quagga,"[{'category_id': 1, 'bbox': [758, 483, 289, 179]}]",1280,1024
data/wcs/images/animals/0017/0843.jpg,111,equus quagga,"[{'category_id': 1, 'bbox': [236, 16, 1044, 991]}]",1280,1024
data/wcs/images/animals/0366/0054.jpg,111,equus quagga,"[{'category_id': 1, 'bbox': [458, 438, 176, 104]}]",1280,1024
data/wcs/images/animals/0371/0631.jpg,111,equus quagga,"[{'category_id': 1, 'bbox': [1438, 386, 603, 288]}]",2048,1536
data/wcs/images/animals/0376/1136.jpg,111,equus quagga,"[{'category_id': 1, 'bbox': [870, 333, 636, 498]}, {'category_id': 1, 'bbox': [125, 601, 124, 103]}]",2048,1536
data/wcs/images/animals/0368/1280.jpg,111,equus quagga,"[{'category_id': 1, 'bbox': [288, 628, 177, 227]}]",2048,1536
data/wcs/images/animals/0264/1144.jpg,111,equus quagga,"[{'category_id': 1, 'bbox': [734, 251, 543, 527]}]",1280,1024
data/wcs/images/animals/0368/0841.jpg,111,equus quagga,"[{'category_id': 1, 'bbox': [451, 521, 319, 186]}]",1280,1024
data/wcs/images/animals/0301/1247.jpg,111,equus quagga,"[{'category_id': 1, 'bbox': [884, 496, 242, 147]}, {'category_id': 1, 'bbox': [2, 279, 476, 544]}]",1818,1228
data/wcs/images/animals/0236/0707.jpg,111,equus quagga,"[{'category_id': 1, 'bbox': [718, 472, 161, 86]}, {'category_id': 1, 'bbox': [897, 485, 177, 80]}, {'category_id': 1, 'bbox': [1224, 543, 30, 21]}]",1280,1024
data/wcs/images/animals/0375/0158.jpg,111,equus quagga,"[{'category_id': 1, 'bbox': [93, 358, 732, 473]}]",1280,1024
data/wcs/images/animals/0017/0846.jpg,111,equus quagga,"[{'category_id': 1, 'bbox': [839, 17, 441, 943]}]",1280,1024
data/wcs/images/animals/0349/0750.jpg,111,equus quagga,"[{'category_id': 1, 'bbox': [375, 622, 464, 387]}]",1280,1024
data/wcs/images/animals/0302/0857.jpg,111,equus quagga,"[{'category_id': 1, 'bbox': [581, 209, 1225, 824]}]",1818,1228
data/wcs/images/animals/0366/0904.jpg,111,equus quagga,"[{'category_id': 1, 'bbox': [60, 405, 48, 82]}, {'category_id': 1, 'bbox': [2, 357, 86, 186]}]",1280,1024
data/wcs/images/animals/0309/0087.jpg,111,equus quagga,"[{'category_id': 1, 'bbox': [790, 480, 257, 270]}]",1280,1024
data/wcs/images/animals/0234/0940.jpg,111,equus quagga,"[{'category_id': 1, 'bbox': [675, 421, 222, 232]}]",1280,1024
data/wcs/images/animals/0310/0490.jpg,111,equus quagga,"[{'category_id': 1, 'bbox': [415, 344, 410, 403]}]",1280,1024
data/wcs/images/animals/0375/0405.jpg,111,equus quagga,"[{'category_id': 1, 'bbox': [1064, 581, 87, 53]}, {'category_id': 1, 'bbox': [846, 593, 90, 45]}]",1280,1024
data/wcs/images/animals/0319/0498.jpg,111,equus quagga,"[{'category_id': 1, 'bbox': [313, 381, 387, 428]}]",1280,1024
data/wcs/images/animals/0371/1251.jpg,111,equus quagga,"[{'category_id': 1, 'bbox': [1601, 495, 300, 386]}]",2048,1536
data/wcs/images/animals/0232/0788.jpg,111,equus quagga,"[{'category_id': 1, 'bbox': [413, 539, 478, 394]}]",2048,1536
data/wcs/images/animals/0375/0162.jpg,111,equus quagga,"[{'category_id': 1, 'bbox': [8, 399, 654, 413]}]",1280,1024
